f056da9c64fbf00a4645ae326e8a4339d015d155,
daf32e013d325a6feb80e83d15aabc64a48fae33,
f33c6d94b0efaa198f8f3f20e644625fa3fe10d2,IGH locus;light chain IG loci;V gene;J gene alleles;IGK haplotype;light and IG heavy (IGH) chain haplotypes;C gene alleles;immunoglobulin gene
4da8a87e614373d56070ed272487451266dce919,
eccef80cfbe078235df22398f195d5db462d8000,
c41fdb2efd6d61384a92a84cbba3f8233629a41b,
1dd898b5ca1ae70ec0e3cad89fc87a165002a99e,
33565294e6bc67fb7ee14dcae6cfdb08148f4ea5,
3461d71f6890f7e5ba53bf168be3945cdb16d901,
1f9d3f9a1a0e8db6a086e0a2b5ba50cf9f235dae,
01e3b313e78a352593be2ff64927192af66619b5,
3b73c8abb7528c958cec0bae1890828af007b599,
8cfb8dfc2f8b2c6e1d60ff48da02de6670694869,
6499f5c865c3db3bdfc1e969ea940a80d547a5bb,
a59906b732bf4a489e282c3e4f499d4166c622e7,MetaPhlAn;FASTQ
99dab788e984601ee4efcd1138926caf10c00dcf,
97339c9d365437d54ea33be1a1b634d35f460208,
1c0b25c8e3c89243fd8797e2e964e12689bc8556,nAb;virus-neutralizing antibodies;serum nAb
d1b26388670660f66249b55ece2beccee4c18d1a,VP4 segments;RVA;VP4 genes;VP6;RVAs;bat RVAs;human RVA;bat RVA;VP7
53442eacc3f233078507fa37b78267399e8c1e3b,lncRNA;lncRNAs;MALAT1;Nuclear Paraspeckle Assembly Transcript 1;lncRNA genes;Lung Adenocarcinoma Transcript 1;NEAT1
c04e10858012bdd666d50c0d69c3d1e7224ccbea,A2AR;respectivelyFabantigen binding fragmentFcFc fragmentFcεRIhigh affinity receptor;D2R;scA2AR;Cε2 domain;AbstractBackgroundThe adenosine A2A receptor;IgE-Fc;D2LR;serine residueGABAγ-aminobutyric acidGABABGABA type B receptorGPCRG protein;class A GPCR;dopamine D2 receptor;D2Rs
5570cb9ff2905fda60cfd6e94f3c32774b765265,
45f184e736c4a857bc0e3df0d55962f743c1493a,
ffbf8ea9948d73572fd052a74afa01b19e6758a3,
fd3fc2c49f5cc27e4262261d0c9045911d65cb6e,XRN1;Xrn1p orthologs;Gag protein;Xrn1p;Ty1 retrotransposon;Xrn1p protein sequence
44a440cc1c135c938d2216ea672f8ef4f9c01296,ZIKV miRNA;ZIKV genome
9b5f5119bbfbded3245acc37859cefde967458e7,
8f4b98da50277e6c9516aef0227f5cca9af6b5e8,NS2B-NS3 protease;Zika
f9b108c052ded463773a9838a8157ac7d5ba6d1a,Zika NS2B C-terminus;Zika NS2B-NS3pro complexes
